key,id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
zeOJDwgz,2512,409,1,2,0,2,3,0,1,0,0,0
ltOI0ezz,2517,409,2,4,0,0,3,1,0,1,0,0
BWb2K3dk,2533,409,0,0,0,0,0,0,0,0,0,0
5xdA7bXy,2541,409,0,0,0,0,0,0,0,0,0,0
9AVmiGi4,2544,409,4,3,0,0,5,1,0,0,0,0
xJaU7p8D,2548,409,3,3,0,0,3,0,1,0,1,0
Y54N7RCP,2562,409,0,0,0,0,0,0,0,0,0,0
SMLtJqv3,2563,409,0,0,0,0,0,0,0,0,0,0
uWqR0XVQ,2568,409,0,0,0,0,0,0,0,0,0,0
UTE4eFsj,2570,409,0,0,0,0,0,0,0,0,0,0
k0z8WCZB,2617,409,0,0,0,0,0,0,0,0,0,0
FTtnibUk,2622,409,3,0,0,2,3,0,1,0,0,0
Mqlj9aSs,2624,409,0,0,0,0,0,0,0,0,0,0
4h2c3oSK,2628,409,0,0,0,0,0,0,0,0,0,0
pphMsBDh,2631,409,0,0,0,0,0,0,0,0,0,0
IyBoRxWH,2632,409,0,0,0,0,0,0,0,0,0,0
8doKnXQS,2634,409,0,0,0,0,0,0,0,0,0,0
8FYxgJUi,2640,409,0,0,0,0,0,0,0,0,0,0
nBvfga35,2648,409,0,0,0,0,0,0,0,0,0,0
OSMuZ1Je,2656,409,1,0,0,1,1,0,0,0,0,0
45Axnod0,2672,409,0,0,0,0,0,0,0,0,0,0
aUEnHmsl,2676,409,0,0,0,0,0,0,0,0,0,0
LuzQ3MdX,2685,409,0,0,0,0,0,0,0,0,0,0
frSLU22c,2698,409,1,0,0,0,0,0,0,0,0,0
HGcFbhrS,2704,409,2,1,0,1,2,1,0,0,0,0
Z0vy2i05,2705,409,1,0,0,0,0,0,0,0,0,0
W1ZY72hj,2730,409,1,0,0,1,1,0,0,0,0,0
lNU1JLzX,2732,409,3,0,0,1,3,0,0,0,0,0
vh9Y5NO8,2737,409,0,0,0,0,0,0,0,0,0,0
GDdMjn1K,2740,409,0,0,0,0,0,0,0,0,0,0
8xkzOC5F,2743,409,1,1,0,0,1,0,0,0,0,0
LjysW7Ul,2769,409,1,1,0,0,1,0,0,0,0,0
pKah3Vnc,2770,409,0,0,0,0,0,0,0,0,0,0
EOKu96Mn,2781,409,3,2,1,0,3,0,2,0,0,0
81RAwifK,2818,409,2,1,0,0,1,0,0,0,1,0
MHyQZCjL,2849,409,0,0,0,0,0,0,0,0,0,0
igRXwYeg,2858,409,3,3,0,2,5,1,1,0,0,0
sOnIoAoh,2863,409,0,0,0,0,0,0,0,0,0,0
vnQV5kk6,2869,409,0,0,0,0,0,0,0,0,0,0
j2k1pkGf,2870,409,0,0,0,0,0,0,0,0,0,0
k0k4jx9V,2884,409,2,4,1,0,4,0,2,0,0,0
F3bwYPvn,2886,409,5,2,0,2,3,1,2,2,0,0
kWETjZ7R,2937,409,0,0,0,0,0,0,0,0,0,0
thgZF3hO,2972,409,0,0,0,0,0,0,0,0,0,0
izNVh54n,2979,409,0,0,0,0,0,0,0,0,0,0
nN7fgGyr,2987,409,0,0,0,0,0,0,0,0,0,0
Q6kT6Ceh,3003,409,1,2,1,2,4,1,0,0,0,0
nJ9KqMWZ,3018,409,0,0,0,0,0,0,0,0,0,0
l1SFfaL4,3024,409,0,0,0,0,0,0,0,0,0,0
AFs3AUxQ,3029,409,0,0,0,0,0,0,0,0,0,0
5NhwIRQx,3056,409,0,0,0,0,0,0,0,0,0,0
xPj1SWCh,3069,409,0,0,0,0,0,0,0,0,0,0
kS6jVAeN,3072,409,3,2,0,2,5,1,0,0,0,0
0liH9Mcg,3073,409,0,0,0,0,0,0,0,0,0,0
uaWLQBak,3074,409,0,0,0,0,0,0,0,0,0,0
Ggva7W74,3078,409,1,0,0,0,0,0,0,0,0,0
jEDrt6Ly,3079,409,0,0,0,0,0,0,0,0,0,0
qJnapjJZ,3087,409,3,2,0,0,2,2,0,0,0,0
s36pE038,3093,409,0,0,0,0,0,0,0,0,0,0
Kc5NsGAC,3118,409,0,0,0,0,0,0,0,0,0,0
gcEhG2qc,3141,409,0,0,0,0,0,0,0,0,0,0
r23UltTp,3148,409,0,0,0,0,0,0,0,0,0,0
lesoOlzt,3158,409,0,0,0,0,0,0,0,0,0,0
fAPgnKaH,3179,409,0,0,0,0,0,0,0,0,0,0
upAuY3Ly,3188,409,2,0,0,2,3,0,0,0,0,0
ZjjoR6tA,3193,409,0,0,0,0,0,0,0,0,0,0
4LIkTWtY,3197,409,0,0,0,0,0,0,0,0,0,0
ESLlY54W,3200,409,1,0,0,0,0,0,0,0,0,0
mAcLg4Kz,3204,409,0,0,0,0,0,0,0,0,0,0
3Rmi5QbK,3217,409,1,0,0,2,2,0,0,0,0,0
maI7yW4O,3218,409,0,0,0,0,0,0,0,0,0,0
L38DNYpn,3219,409,1,0,0,0,0,0,0,0,0,0
rtNRQKxX,3223,409,3,5,0,0,5,0,2,0,0,0
JYXGwBVz,3224,409,2,1,0,0,1,0,1,0,0,0
jldZcBg2,3228,409,1,2,1,0,3,0,0,0,0,0
87uIHyT6,3243,409,4,3,0,2,7,1,0,0,0,0
D2isMuyj,3245,409,0,0,0,0,0,0,0,0,0,0
HMSfW5RZ,3250,409,0,0,0,0,0,0,0,0,0,0
uN79mzvV,3274,409,0,0,0,0,0,0,0,0,0,0
5MoH43eY,3282,409,1,2,0,0,2,0,0,0,0,0
vjA1el0a,3285,409,2,2,0,1,3,1,0,0,0,0
VSPVfmYB,3286,409,0,0,0,0,0,0,0,0,0,0
3c98QQYt,3314,409,1,0,0,0,0,0,0,0,0,0
RYx7Zpdk,3318,409,1,1,0,0,1,0,0,0,0,0
2n0OAZEw,3323,409,0,0,0,0,0,0,0,0,0,0
2GhhFgUF,3325,409,0,0,0,0,0,0,0,0,0,0
Y3HEiFlw,3327,409,0,0,0,0,0,0,0,0,0,0
ssQagaMv,3332,409,0,0,0,0,0,0,0,0,0,0
DPvpbBwk,3333,409,0,0,0,0,0,0,0,0,0,0
yiljCbBe,3340,409,0,0,0,0,0,0,0,0,0,0
5r8vFCr8,3348,409,1,1,0,1,2,0,0,0,0,0
gK90OI9v,3354,409,1,2,0,0,2,0,0,0,0,0
Ll2xOAS5,3380,409,0,0,0,0,0,0,0,0,0,0
08WezcAl,3397,409,0,0,0,0,0,0,0,0,0,0
BWEONOvW,3405,409,1,0,1,2,3,0,0,0,0,0
JAYLSQXN,3408,409,0,0,0,0,0,0,0,0,0,0
xf9jVeo7,3441,409,0,0,0,0,0,0,0,0,0,0
o747YDzs,3450,409,1,2,0,2,3,0,1,0,0,0
TYkym1JR,3455,409,0,0,0,0,0,0,0,0,0,0
47sjbScT,3470,409,0,0,0,0,0,0,0,0,0,0
uNEKXSzS,3488,409,0,0,0,0,0,0,0,0,0,0
xzBXTydU,3494,409,0,0,0,0,0,0,0,0,0,0
LX0hxdZ3,3495,409,1,1,0,0,1,0,0,0,0,0
1uOHdwRP,3497,409,3,0,1,4,1,3,2,1,0,0
SLarXPhD,3498,409,1,0,0,1,1,0,0,0,0,0
OlyVOQo6,3501,409,0,0,0,0,0,0,0,0,0,0
5KHvDkMo,3503,409,4,1,0,0,2,1,1,0,0,0
gPYa5USI,3533,409,0,0,0,0,0,0,0,0,0,0
TkB0OYEq,3539,409,0,0,0,0,0,0,0,0,0,0
1KrRoqRj,3561,409,1,0,0,0,0,0,0,0,0,0
oSd2HRed,3569,409,1,0,1,2,3,0,0,0,0,0
ob5qVile,3577,409,2,1,0,1,2,0,1,0,0,0
8AuDZ5iJ,3579,409,1,1,0,0,1,0,0,0,0,0
mEffIj91,3588,409,2,2,1,1,4,0,1,0,0,0
6P8m8Ak9,3608,409,1,3,0,0,2,1,0,0,0,0
3uQGzLAN,3613,409,0,0,0,0,0,0,0,0,0,0
VA6A4HAb,3634,409,0,0,0,0,0,0,0,0,0,0
9gvUDDPi,3638,409,0,0,0,0,0,0,0,0,0,0
F1GP0EDa,3661,409,0,0,0,0,0,0,0,0,0,0
Rgig0m6X,3682,409,0,0,0,0,0,0,0,0,0,0
LBuI1avn,3701,409,0,0,0,0,0,0,0,0,0,0
gxgTC8Lk,3703,409,1,1,0,0,1,0,0,0,0,0
bwoX2PPB,3709,409,0,0,0,0,0,0,0,0,0,0
TqzGf9hy,3726,409,0,0,0,0,0,0,0,0,0,0
WCRXYZrN,3731,409,0,0,0,0,0,0,0,0,0,0
IsxegpVI,3733,409,2,1,0,0,1,0,1,0,0,0
gdSbfNfI,3762,409,1,0,0,1,1,0,0,0,0,0
Ga62LOqM,3775,409,2,3,0,2,3,1,2,0,0,0
1zlB7Ylv,3776,409,0,0,0,0,0,0,0,0,0,0
q7JerIPr,3778,409,0,0,0,0,0,0,0,0,0,0
RgrkxciA,3780,409,1,0,0,0,0,0,0,0,0,0
B6Vcy5GY,3789,409,0,0,0,0,0,0,0,0,0,0
dLx6oxBN,3791,409,0,0,0,0,0,0,0,0,0,0
psIBS8Lw,3813,409,1,1,0,0,1,0,0,0,0,0
WxviYOBz,3817,409,0,0,0,0,0,0,0,0,0,0
clkSbTrz,3831,409,1,0,0,0,0,0,0,0,0,0
4oyc77PE,3840,409,0,0,0,0,0,0,0,0,0,0
EpRK9p0i,3869,409,0,0,0,0,0,0,0,0,0,0
55zNCBVg,3889,409,0,0,0,0,0,0,0,0,0,0
kUqqLR7J,3907,409,1,2,1,1,2,2,0,0,0,0
WuXLUC4Q,3921,409,2,3,0,1,4,1,0,0,0,0
a4O4ctzv,3953,409,0,0,0,0,0,0,0,0,0,0
FzI3uMXJ,3965,409,1,0,0,1,1,0,0,0,0,0
BDiG9KvK,3970,409,0,0,0,0,0,0,0,0,0,0
QQzI2N6C,3976,409,2,1,0,2,4,0,0,0,0,0
5zpbQh5P,4006,409,1,2,0,1,3,0,0,0,0,0
dFMlKsPr,4014,409,0,0,0,0,0,0,0,0,0,0
jNU90Rzv,4025,409,3,0,0,2,2,2,0,0,0,0
RMbF9Fc7,4027,409,0,0,0,0,0,0,0,0,0,0
IVS4SD6O,4037,409,0,0,0,0,0,0,0,0,0,0
ge9tJicm,4039,409,0,0,0,0,0,0,0,0,0,0
7To1iOgL,4070,409,2,0,0,1,1,1,0,0,0,0
5oMJuHQE,4079,409,0,0,0,0,0,0,0,0,0,0
Ctb9yDdz,4096,409,0,0,0,0,0,0,0,0,0,0
zBu4wLkx,4110,409,0,0,0,0,0,0,0,0,0,0
9FavjrNu,4163,409,0,0,0,0,0,0,0,0,0,0
ZpTbADyx,4178,409,3,4,0,0,3,2,1,0,0,0
8a6Hsvhc,4182,409,0,0,0,0,0,0,0,0,0,0
klh9K6n9,4203,409,0,0,0,0,0,0,0,0,0,0
kFu5gThc,4205,409,0,0,0,0,0,0,0,0,0,0
pQiZRKO5,4214,409,2,1,0,2,3,1,0,0,0,0
DMOrOEIA,4224,409,0,0,0,0,0,0,0,0,0,0
TL5ZWeVJ,4232,409,0,0,0,0,0,0,0,0,0,0
NHj2GQkI,4237,409,0,0,0,0,0,0,0,0,0,0
MwAa5i7f,4238,409,0,0,0,0,0,0,0,0,0,0
bwAhGFNK,4251,409,1,0,0,1,1,0,0,0,0,0
jMPYZV1O,4264,409,0,0,0,0,0,0,0,0,0,0
PJ5tVu1g,4272,409,0,0,0,0,0,0,0,0,0,0
CMnEqWik,4273,409,2,1,0,1,3,0,0,0,0,0
qrUyjvTF,4289,409,0,0,0,0,0,0,0,0,0,0
YkqlDOWb,4299,409,0,0,0,0,0,0,0,0,0,0
8Vo9bX4R,4302,409,0,0,0,0,0,0,0,0,0,0
L6atsT1F,4313,409,0,0,0,0,0,0,0,0,0,0
Wf2THb5O,4330,409,3,3,0,0,3,0,2,0,0,0
1Ls1wgfw,4338,409,2,0,0,2,2,1,0,0,0,0
Lr3YwpQy,4343,409,0,0,0,0,0,0,0,0,0,0
hNBW1g68,4345,409,0,0,0,0,0,0,0,0,0,0
E3GAnUmA,4362,409,2,2,1,2,3,2,1,0,0,0
EOXj2bfU,4363,409,1,2,1,2,5,0,0,0,0,0
60Z3kmtk,4408,409,0,0,0,0,0,0,0,0,0,0
bNdgGnn0,4419,409,2,0,0,1,0,1,0,1,0,0
WXYlWeSG,4427,409,2,2,1,0,2,1,1,0,0,0
dugUFjC9,4435,409,1,0,0,0,0,0,0,0,0,0
Ul6BfX50,4437,409,0,0,0,0,0,0,0,0,0,0
MykDDwrk,4471,409,0,0,0,0,0,0,0,0,0,0
yH8QK5Sd,4476,409,2,2,0,0,3,0,0,0,0,0
3SxjbAWV,4490,409,0,0,0,0,0,0,0,0,0,0
R8tX3WqT,4491,409,1,0,0,1,1,0,0,0,0,0
8ADp4Zk2,4497,409,0,0,0,0,0,0,0,0,0,0
NQDRkLp8,4508,409,4,3,0,1,4,1,2,0,0,0
iOat6uBK,4510,409,0,0,0,0,0,0,0,0,0,0
akfp2tkB,4533,409,0,0,0,0,0,0,0,0,0,0
b6sVaq1M,4535,409,2,1,2,1,4,1,0,0,0,0
mHS64ZnR,4540,409,0,0,0,0,0,0,0,0,0,0
DrC97kbr,4547,409,1,3,0,0,2,0,1,0,0,0
zQf0dwKj,4549,409,0,0,0,0,0,0,0,0,0,0
6x1beUgv,4553,409,0,0,0,0,0,0,0,0,0,0
bJmdDnKw,4574,409,0,0,0,0,0,0,0,0,0,0
e7fnP29a,4576,409,0,0,0,0,0,0,0,0,0,0
EEgTM1mJ,4587,409,0,0,0,0,0,0,0,0,0,0
mM7dFmxT,4596,409,0,0,0,0,0,0,0,0,0,0
pSiaoi6s,4632,409,0,0,0,0,0,0,0,0,0,0
E0Rm9PXE,4634,409,0,0,0,0,0,0,0,0,0,0
TcOlKjYX,4642,409,1,1,0,0,1,0,0,0,0,0
ZeqtkENX,4647,409,0,0,0,0,0,0,0,0,0,0
W7gfVZ2D,4652,409,1,1,0,1,2,0,0,0,0,0
QbOkeFY5,4655,409,1,1,0,0,1,0,0,0,0,0
6KhTxl2I,4661,409,1,0,0,1,1,0,0,0,0,0
bbXxe1bf,4669,409,3,1,0,2,4,0,1,0,0,0
yeSN50YU,4677,409,0,0,0,0,0,0,0,0,0,0
Aaz9UGbS,4680,409,0,0,0,0,0,0,0,0,0,0
KBC19J8x,4719,409,2,1,1,0,2,0,1,0,0,0
23sI5cKm,4727,409,1,0,0,0,0,0,0,0,0,0
P74JKVcQ,4733,409,0,0,0,0,0,0,0,0,0,0
lvy2f7SG,4736,409,1,1,0,0,1,0,0,0,0,0
GMMdtWgG,4739,409,0,0,0,0,0,0,0,0,0,0
y68LPRkV,4809,409,0,0,0,0,0,0,0,0,0,0
PlEkjhkv,4812,409,0,0,0,0,0,0,0,0,0,0
sdb91wPL,4820,409,0,0,0,0,0,0,0,0,0,0
Ks9RKC6s,4845,409,2,3,0,1,1,3,1,0,0,0
e5xmgUIv,4848,409,1,1,0,1,1,1,0,0,0,0
oxAS8WyB,4875,409,1,1,0,0,0,1,0,0,0,0
Dx7z84qA,4876,409,0,0,0,0,0,0,0,0,0,0
OBneK5up,4879,409,2,4,0,0,5,0,0,0,0,0
wyTJBIYe,4898,409,1,3,0,1,4,0,0,0,0,0
9PlgSubG,4906,409,1,0,0,1,1,0,0,0,0,0
qdUcCX7X,4907,409,0,0,0,0,0,0,0,0,0,0
sh2GMcGJ,4913,409,3,1,0,3,4,2,0,0,0,0
IFVPodWe,4924,409,0,0,0,0,0,0,0,0,0,0
EVekkBMu,4931,409,2,2,0,2,4,0,0,0,1,0
EG0e0Rvm,4934,409,0,0,0,0,0,0,0,0,0,0
359GUM8t,4938,409,0,0,0,0,0,0,0,0,0,0
mLIuqUZW,4946,409,1,1,0,0,1,0,0,0,0,0
pN0l8EOc,4949,409,1,0,0,1,0,0,1,0,0,0
ncjpi7J2,4951,409,0,0,0,0,0,0,0,0,0,0
Anwa0sco,4958,409,0,0,0,0,0,0,0,0,0,0
IomuxQhl,4977,409,1,1,0,0,1,0,0,0,0,0
XONyLRt6,4980,409,0,0,0,0,0,0,0,0,0,0
Tqs8XBlq,4985,409,1,0,0,2,1,0,1,0,0,0
Lpu6JQ70,4992,409,1,1,0,0,1,0,0,0,0,0
fPGbwAYH,5007,409,1,2,0,2,4,0,0,0,0,0
CtWqtfEm,5015,409,1,0,0,1,1,0,0,0,0,0
wyrPAQRF,5037,409,0,0,0,0,0,0,0,0,0,0
TiAiR4t1,5050,409,1,2,0,0,2,0,0,0,0,0
AoYKy3Vn,5091,409,2,0,1,0,1,1,0,0,0,0
9PdLwb47,5095,409,0,0,0,0,0,0,0,0,0,0
wrjaKA41,5098,409,3,4,0,1,4,2,1,0,0,0
V8fluvQY,5099,409,1,0,0,2,0,1,1,0,0,0
fKFfBpbw,5114,409,0,0,0,0,0,0,0,0,0,0
MelhaSJA,5118,409,2,1,0,1,2,0,1,0,0,0
WUsxWPYq,5131,409,0,0,0,0,0,0,0,0,0,0
apJdH2Tr,5137,409,0,0,0,0,0,0,0,0,0,0
VJJNsMeu,5140,409,0,0,0,0,0,0,0,0,0,0
e7uQVVB1,5142,409,0,0,0,0,0,0,0,0,0,0
SbhKMcpv,5169,409,0,0,0,0,0,0,0,0,0,0
jEPqrcSW,5196,409,3,4,0,0,3,1,2,0,0,0
afVoWyR6,5207,409,2,1,0,3,4,1,0,0,0,0
ZpqU9Mf7,5241,409,0,0,0,0,0,0,0,0,0,0
tGSPuUwc,5248,409,0,0,0,0,0,0,0,0,0,0
xUolhbrR,5274,409,0,0,0,0,0,0,0,0,0,0
OU9OpKaG,5278,409,0,0,0,0,0,0,0,0,0,0
A40Mx666,5283,409,4,2,1,2,5,2,0,1,0,0
ox6GguLu,5302,409,0,0,0,0,0,0,0,0,0,0
B2Q6SR9I,5341,409,1,0,0,1,1,0,0,0,0,0
131Q1w9T,5345,409,0,0,0,0,0,0,0,0,0,0
SfMWwDgt,5363,409,0,0,0,0,0,0,0,0,0,0
Qjz0dqxx,5366,409,0,0,0,0,0,0,0,0,0,0
voURz28F,5370,409,1,1,1,0,1,0,1,0,0,0
WOU9nyXU,5376,409,0,0,0,0,0,0,0,0,0,0
EW22yLmO,5388,409,2,0,0,5,3,2,1,0,0,0
FVFTP5NQ,5395,409,0,0,0,0,0,0,0,0,0,0
RrfQtPZM,5399,409,4,1,1,0,3,2,0,0,0,0
7peZBs8n,5402,409,0,0,0,0,0,0,0,0,0,0
7HSFrCW8,5408,409,0,0,0,0,0,0,0,0,0,0
gyogUwTI,5410,409,0,0,0,0,0,0,0,0,0,0
u0plQjX0,5412,409,0,0,0,0,0,0,0,0,0,0
pPaClovy,5418,409,1,2,0,1,3,0,0,0,0,0
QYMRpZXP,5423,409,3,3,0,0,3,1,1,0,0,0
8ymfEOHg,5428,409,1,2,0,0,2,0,0,0,0,0
6jwMuN21,5441,409,0,0,0,0,0,0,0,0,0,0
mWm1Ftnl,5447,409,0,0,0,0,0,0,0,0,0,0
NeiyJERq,5451,409,2,0,1,2,2,2,0,0,0,0
Dx7p9mQ8,5463,409,0,0,0,0,0,0,0,0,0,0
2fLJGG6o,5466,409,0,0,0,0,0,0,0,0,0,0
YcQVqcAF,5474,409,1,1,0,1,2,0,0,0,0,0
GMXeMyI2,5493,409,0,0,0,0,0,0,0,0,0,0
RLjRFHkb,5495,409,0,0,0,0,0,0,0,0,0,0
SgAI2n8K,5504,409,0,0,0,0,0,0,0,0,0,0
PdNDyEbQ,5529,409,0,0,0,0,0,0,0,0,0,0
cqJiJFTo,5534,409,2,0,0,2,2,1,0,0,0,0
w7Re0RqL,5536,409,0,0,0,0,0,0,0,0,0,0
GrCjsEcZ,5538,409,2,1,0,1,1,2,0,0,0,0
hpCMtydp,5556,409,0,0,0,0,0,0,0,0,0,0
vIUMYq9F,5574,409,0,0,0,0,0,0,0,0,0,0
7snI9tO2,5578,409,0,0,0,0,0,0,0,0,0,0
gp0kJZra,5579,409,4,0,0,4,5,1,1,0,0,0
et3lMvlz,5606,409,0,0,0,0,0,0,0,0,0,0
30DEA5Kf,5607,409,0,0,0,0,0,0,0,0,0,0
jkhgAKA2,5610,409,1,0,0,1,1,0,0,0,0,0
aTtbP9l2,5618,409,2,1,0,2,3,0,1,0,0,0
EBCpseIx,5692,409,1,5,0,0,4,1,0,0,0,0
Eso8OLfs,5695,409,0,0,0,0,0,0,0,0,0,0
3r0C99Li,5711,409,0,0,0,0,0,0,0,0,0,0
ZrS9Wn0r,5715,409,0,0,0,0,0,0,0,0,0,0
bh92KxaH,5731,409,0,0,0,0,0,0,0,0,0,0
KYrK2X4b,5757,409,0,0,0,0,0,0,0,0,0,0
SaIyV0FS,5762,409,0,0,0,0,0,0,0,0,0,0
wAcZeANl,5774,409,1,0,0,1,1,0,0,0,0,0
DtMf1tDJ,5785,409,3,1,0,4,4,1,2,0,0,0
vUrWIZAw,5796,409,0,0,0,0,0,0,0,0,0,0
qTWFZw27,5816,409,0,0,0,0,0,0,0,0,0,0
SWbBWpHR,5830,409,2,4,0,0,3,1,1,0,0,0
86fQBuGl,5834,409,0,0,0,0,0,0,0,0,0,0
9mgqZEvq,5837,409,1,1,2,0,3,0,0,0,0,0
doBncFDU,5844,409,0,0,0,0,0,0,0,0,0,0
rnmn37JN,5846,409,0,0,0,0,0,0,0,0,0,0
jQRUAPB1,5874,409,1,0,0,0,0,0,0,0,0,0
TADMnMqv,5884,409,1,0,0,1,1,0,0,0,0,0
Iff2pJNT,5927,409,0,0,0,0,0,0,0,0,0,0
6mFoUBOg,5929,409,0,0,0,0,0,0,0,0,0,0
Eq6wmfaD,5951,409,0,0,0,0,0,0,0,0,0,0
Fo40ot4m,5960,409,0,0,0,0,0,0,0,0,0,0
woeAE0oR,5970,409,0,0,0,0,0,0,0,0,0,0
dsYZ6G3Y,5972,409,1,1,0,0,1,0,0,0,0,0
T99d4Vmc,5993,409,0,0,0,0,0,0,0,0,0,0
KMHlpzl2,6014,409,0,0,0,0,0,0,0,0,0,0
N0xbZ3Kk,6021,409,0,0,0,0,0,0,0,0,0,0
z5UUIY5G,6040,409,1,0,0,1,1,0,0,0,0,0
iqgVoUnc,6048,409,0,0,0,0,0,0,0,0,0,0
T6AKQt7d,6056,409,0,0,0,0,0,0,0,0,0,0
TzqDnwUc,6061,409,0,0,0,0,0,0,0,0,0,0
WANVVgQr,6064,409,0,0,0,0,0,0,0,0,0,0
Wac6JvtS,6071,409,0,0,0,0,0,0,0,0,0,0
gJBIST6v,6082,409,0,0,0,0,0,0,0,0,0,0
aPetO9gQ,6097,409,0,0,0,0,0,0,0,0,0,0
cHRKgW8g,6107,409,0,0,0,0,0,0,0,0,0,0
7RC3DheR,6118,409,1,0,0,1,1,0,0,0,0,0
N57UCRhc,6128,409,1,0,0,3,3,0,0,0,0,0
KQ5IXUO2,6172,409,2,3,0,0,3,0,0,1,0,0
